Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-16,ADA-USD,USD,0.45,0.45,0.43,0.44,0.44,485890791,-0.01,-2.22,23967385600
2024-07-16,ATOM-USD,USD,6.51,6.65,6.28,6.61,6.61,152107981,0.10,1.54,1506169472
2024-07-16,AVAX-USD,USD,27.85,29.21,26.54,28.03,28.03,474045817,0.18,0.65,8681321472
2024-07-16,BNB-USD,USD,586.01,587.40,556.67,576.58,576.58,2082707183,-9.43,-1.61,156638248960
2024-07-16,BTC-USD,USD,64784.42,65354.34,62487.97,65097.15,65097.15,-1332326192,312.73,0.48,2272121585664
2024-07-16,DOGE-USD,USD,0.13,0.13,0.12,0.12,0.12,1023424280,-0.01,-7.69,30334775296
2024-07-16,DOT-USD,USD,6.50,6.51,6.15,6.34,6.34,227737448,-0.16,-2.46,5121885696
2024-07-16,ETH-USD,USD,3486.14,3498.22,3351.78,3443.51,3443.51,-1028172064,-42.63,-1.22,496596582400
2024-07-16,ICP-USD,USD,9.72,9.84,9.29,9.67,9.67,152899227,-0.05,-0.51,1706506624
2024-07-16,LINK-USD,USD,14.42,14.60,13.85,14.22,14.22,385605505,-0.20,-1.39,12714944512
2024-07-16,LTC-USD,USD,72.43,73.99,70.60,73.20,73.20,382767108,0.77,1.06,7622200832
2024-07-16,MATIC-USD,USD,0.55,0.55,0.52,0.54,0.54,294401551,-0.01,-1.82,0
2024-07-16,NEAR-USD,USD,5.93,6.27,5.87,6.24,6.24,506246243,0.31,5.23,2972301568
2024-07-16,SOL-USD,USD,159.77,162.47,153.05,160.55,160.55,-1260732522,0.78,0.49,110541570048
2024-07-16,TRX-USD,USD,0.14,0.14,0.13,0.13,0.13,423036640,-0.01,-7.14,28247525376
2024-07-16,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,12,0.00,,17388
2024-07-16,XRP-USD,USD,0.54,0.59,0.53,0.58,0.58,-914304976,0.04,7.41,157739499520
2024-07-17,ADA-USD,USD,0.44,0.46,0.44,0.44,0.44,389017769,0.00,0.00,23967385600
2024-07-17,ATOM-USD,USD,6.61,6.79,6.49,6.49,6.49,120701838,-0.12,-1.82,1506169472
2024-07-17,AVAX-USD,USD,28.03,29.00,27.25,27.25,27.25,364404918,-0.78,-2.78,8681321472
2024-07-17,BNB-USD,USD,576.56,584.01,565.42,568.91,568.91,1739938322,-7.65,-1.33,156638248960
2024-07-17,BTC-USD,USD,65091.83,66066.73,63896.09,64118.79,64118.79,-1834667057,-973.04,-1.49,2272121585664
2024-07-17,DOGE-USD,USD,0.12,0.13,0.12,0.12,0.12,731025036,0.00,0.00,30334775296
2024-07-17,DOT-USD,USD,6.34,6.53,6.26,6.26,6.26,184124455,-0.08,-1.26,5121885696
2024-07-17,ETH-USD,USD,3446.74,3516.10,3379.10,3388.75,3388.75,-440745222,-57.99,-1.68,496596582400
2024-07-17,ICP-USD,USD,9.66,10.44,9.55,10.28,10.28,180945881,0.62,6.42,1706506624
2024-07-17,LINK-USD,USD,14.22,14.50,13.75,13.75,13.75,309881695,-0.47,-3.31,12714944512
2024-07-17,LTC-USD,USD,73.21,74.19,71.34,71.42,71.42,299830129,-1.79,-2.45,7622200832
2024-07-17,MATIC-USD,USD,0.54,0.56,0.54,0.54,0.54,245083074,0.00,0.00,0
2024-07-17,NEAR-USD,USD,6.24,6.48,6.02,6.07,6.07,357405294,-0.17,-2.72,2972301568
2024-07-17,SOL-USD,USD,160.56,163.60,155.07,155.58,155.58,-2039314629,-4.98,-3.10,110541570048
2024-07-17,TRX-USD,USD,0.13,0.14,0.13,0.13,0.13,290529371,0.00,0.00,28247525376
2024-07-17,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,12,0.00,,17388
2024-07-17,XRP-USD,USD,0.58,0.64,0.58,0.63,0.63,-586712110,0.05,8.62,157739499520
2024-07-18,ADA-USD,USD,0.44,0.45,0.42,0.42,0.42,338163499,-0.02,-4.55,23967385600
2024-07-18,ATOM-USD,USD,6.49,6.57,6.25,6.31,6.31,108407907,-0.18,-2.77,1506169472
2024-07-18,AVAX-USD,USD,27.25,27.91,26.71,27.14,27.14,270954780,-0.11,-0.40,8681321472
2024-07-18,BNB-USD,USD,568.97,579.34,562.93,571.95,571.95,1636814280,2.98,0.52,156638248960
2024-07-18,BTC-USD,USD,64104.74,65104.66,63246.16,63974.07,63974.07,1469501561,-130.67,-0.20,2272121585664
2024-07-18,DOGE-USD,USD,0.12,0.12,0.12,0.12,0.12,710080580,0.00,0.00,30334775296
2024-07-18,DOT-USD,USD,6.26,6.40,6.05,6.09,6.09,183527904,-0.17,-2.72,5121885696
2024-07-18,ETH-USD,USD,3388.03,3488.72,3374.99,3426.26,3426.26,-2144247181,38.23,1.13,496596582400
2024-07-18,ICP-USD,USD,10.28,10.43,9.56,9.67,9.67,91727206,-0.61,-5.93,1706506624
2024-07-18,LINK-USD,USD,13.75,13.98,13.43,13.60,13.60,290769371,-0.15,-1.09,12714944512
2024-07-18,LTC-USD,USD,71.42,72.89,70.71,71.61,71.61,249796825,0.19,0.27,7622200832
2024-07-18,MATIC-USD,USD,0.54,0.55,0.51,0.52,0.52,314376073,-0.02,-3.70,0
2024-07-18,NEAR-USD,USD,6.08,6.23,5.89,6.03,6.03,254911740,-0.05,-0.82,2972301568
2024-07-18,SOL-USD,USD,155.59,161.59,155.57,159.07,159.07,2044591406,3.48,2.24,110541570048
2024-07-18,TRX-USD,USD,0.13,0.13,0.13,0.13,0.13,269807843,0.00,0.00,28247525376
2024-07-18,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,12,0.00,,17388
2024-07-18,XRP-USD,USD,0.63,0.64,0.56,0.57,0.57,-1308255749,-0.06,-9.52,157739499520
2024-07-19,ADA-USD,USD,0.42,0.44,0.42,0.44,0.44,340393258,0.02,4.76,23967385600
2024-07-19,ATOM-USD,USD,6.31,6.56,6.20,6.51,6.51,119529711,0.20,3.17,1506169472
2024-07-19,AVAX-USD,USD,27.14,28.41,26.71,28.19,28.19,337996220,1.05,3.87,8681321472
2024-07-19,BNB-USD,USD,571.93,598.05,565.97,593.70,593.70,2052978808,21.77,3.81,156638248960
2024-07-19,BTC-USD,USD,63972.32,67442.64,63329.34,66710.16,66710.16,-1650850254,2737.84,4.28,2272121585664
2024-07-19,DOGE-USD,USD,0.12,0.13,0.12,0.13,0.13,724349409,0.01,8.33,30334775296
2024-07-19,DOT-USD,USD,6.09,6.35,6.02,6.35,6.35,168630679,0.26,4.27,5121885696
